Gold Price,Name,VIP Price,Event Type,Venue Type,Bronze Pct,Event ID,Time,General Admission Pct,Silver Price,Date,Bronze Price,Fireworks Cost,General Admission Price,Pct Seats Unavailable,Capacity,Reserved Extra Pct,Cost,VIP Pct,Venue Name,Gold Pct,Fireworks Planned,Silver Pct
27.00,UTEP Football 1,31.50,Sport,Stadium,20,1,7:05 PM,45,22.50,9/4/23,19.50,,15.00,0,58000,5,681500,5,Sun Bowl Stadium,10,No,15
27.00,UTEP Football 2,31.50,Sport,Stadium,20,2,7:05 PM,45,22.50,9/11/23,19.50,,15.00,0,58000,5,681500,5,Sun Bowl Stadium,10,No,15
27.00,UTEP Football 3,31.50,Sport,Stadium,20,3,7:05 PM,45,22.50,9/18/23,19.50,,15.00,0,58000,5,681500,5,Sun Bowl Stadium,10,No,15
27.00,UTEP Football 4,31.50,Sport,Stadium,20,4,7:05 PM,45,22.50,9/25/23,19.50,17400,15.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
27.00,UTEP Football 5,31.50,Sport,Stadium,20,5,7:05 PM,45,22.50,10/2/23,19.50,,15.00,0,58000,5,681500,5,Sun Bowl Stadium,10,No,15
27.00,UTEP Football 6,31.50,Sport,Stadium,20,6,7:05 PM,45,22.50,10/9/23,19.50,17400,15.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
27.00,UTEP Football 7,31.50,Sport,Stadium,20,7,7:05 PM,45,22.50,10/16/23,19.50,17400,15.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
28.80,UTEP Football 8,33.60,Sport,Stadium,20,8,7:05 PM,45,24.00,10/23/23,20.80,18560,16.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
28.80,UTEP Football 9,33.60,Sport,Stadium,20,9,7:05 PM,45,24.00,10/30/23,20.80,18560,16.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
28.80,UTEP Football 10,33.60,Sport,Stadium,20,10,7:05 PM,45,24.00,11/6/23,20.80,18560,16.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
28.80,UTEP Football 11,33.60,Sport,Stadium,20,11,7:05 PM,45,24.00,11/13/23,20.80,18560,16.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
28.80,UTEP Football 12,33.60,Sport,Stadium,20,12,7:05 PM,45,24.00,11/20/23,20.80,18560,16.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
32.40,UTEP Football 13,37.80,Sport,Stadium,20,13,7:05 PM,45,27.00,11/27/23,23.40,20880,18.00,0,58000,5,681500,5,Sun Bowl Stadium,10,Yes,15
27.00,UTEP Basketball 1,31.50,Sport,Arena,20,14,6:30 PM,45,22.50,11/20/23,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 2,35.70,Sport,Arena,20,15,7:15 PM,45,25.50,11/22/23,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 3,31.50,Sport,Arena,20,16,6:30 PM,45,22.50,11/27/23,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 4,35.70,Sport,Arena,20,17,7:15 PM,45,25.50,11/29/23,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 5,31.50,Sport,Arena,20,18,6:30 PM,45,22.50,12/4/23,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 6,35.70,Sport,Arena,20,19,7:15 PM,45,25.50,12/6/23,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 7,31.50,Sport,Arena,20,20,6:30 PM,45,22.50,12/11/23,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 8,35.70,Sport,Arena,20,21,7:15 PM,45,25.50,12/13/23,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 9,31.50,Sport,Arena,20,22,6:30 PM,45,22.50,12/18/23,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 10,35.70,Sport,Arena,20,23,7:15 PM,45,25.50,12/20/23,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 11,31.50,Sport,Arena,20,24,6:30 PM,45,22.50,12/25/23,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 12,35.70,Sport,Arena,20,25,7:15 PM,45,25.50,12/27/23,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 13,31.50,Sport,Arena,20,26,6:30 PM,45,22.50,1/1/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 14,35.70,Sport,Arena,20,27,7:15 PM,45,25.50,1/3/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 15,31.50,Sport,Arena,20,28,6:30 PM,45,22.50,1/8/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 16,35.70,Sport,Arena,20,29,7:15 PM,45,25.50,1/10/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 17,31.50,Sport,Arena,20,30,6:30 PM,45,22.50,1/15/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 18,35.70,Sport,Arena,20,31,7:15 PM,45,25.50,1/17/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 19,31.50,Sport,Arena,20,32,6:30 PM,45,22.50,1/22/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 20,35.70,Sport,Arena,20,33,7:15 PM,45,25.50,1/24/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 21,31.50,Sport,Arena,20,34,6:30 PM,45,22.50,1/29/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 22,35.70,Sport,Arena,20,35,7:15 PM,45,25.50,1/31/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 23,31.50,Sport,Arena,20,36,6:30 PM,45,22.50,2/5/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 24,35.70,Sport,Arena,20,37,7:15 PM,45,25.50,2/7/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 25,31.50,Sport,Arena,20,38,6:30 PM,45,22.50,2/12/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 26,35.70,Sport,Arena,20,39,7:15 PM,45,25.50,2/14/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 27,31.50,Sport,Arena,20,40,6:30 PM,45,22.50,2/19/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 28,35.70,Sport,Arena,20,41,7:15 PM,45,25.50,2/21/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 29,31.50,Sport,Arena,20,42,6:30 PM,45,22.50,2/26/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
30.60,UTEP Basketball 30,35.70,Sport,Arena,20,43,7:15 PM,45,25.50,2/28/24,22.10,,17.00,0,12800,5,150400,5,Don Haskins Center,10,,15
27.00,UTEP Basketball 31,31.50,Sport,Arena,20,44,6:30 PM,45,22.50,3/4/24,19.50,,15.00,0,12800,5,150400,5,Don Haskins Center,10,,15
26.88,UTEP Wind Symphony 1,40.63,Concert,Auditorium,20,45,6:00 PM,45,23.75,3/26/24,15.63,,6.25,0,1152,5,13536,5,Magoffin Auditorium,10,,15
